Wall time,Step,Value
1683114468.6395352,1000,3.9415009021759033
1683114472.280719,2000,3.8710217475891113
1683114480.4441803,4000,3.9523088932037354
1683114485.1194477,5000,3.909248113632202
1683114488.9117785,6000,3.8718101978302
1683114494.007472,7000,3.9390745162963867
1683114497.3299396,8000,3.873048782348633
1683114501.8234441,9000,4.0179667472839355
1683114504.7717643,10000,4.038741588592529
1683114509.6325064,11000,3.978663206100464
1683114513.6284184,12000,4.024937152862549
1683114517.7958894,13000,4.00136661529541
1683114520.4061856,14000,3.9451889991760254
1683114525.6833234,15000,4.111481666564941
1683114528.9846127,16000,3.914673089981079
1683114532.9830773,17000,4.012239456176758
1683114536.879034,18000,4.0643486976623535
1683114541.4631393,19000,4.057851791381836
1683114544.6252265,20000,4.096612930297852
1683114548.741822,21000,4.035637855529785
1683114552.0943136,22000,4.018289089202881
1683114556.675781,23000,4.16154146194458
1683114559.4182584,24000,4.118232727050781
1683114564.009103,25000,3.8910109996795654
1683114567.5845277,26000,4.0043721199035645
1683114571.8501244,27000,4.168043613433838
1683114575.1962016,28000,4.044920921325684
1683114583.267692,30000,4.049570083618164
1683114587.1781964,31000,4.016324520111084
1683114590.8251314,32000,4.0112810134887695
1683114594.828555,33000,4.014649868011475
1683114598.967111,34000,4.115740776062012
1683114602.5965939,35000,3.9718754291534424
1683114609.6283185,37000,3.9529426097869873
1683114614.2696636,38000,3.986210346221924
1683114617.841598,39000,4.040411949157715
1683114621.3304708,40000,4.055170059204102
1683114624.813664,41000,4.053594589233398
1683114632.5927742,43000,3.9581456184387207
1683114637.0242622,44000,4.011449337005615
1683114640.4994674,45000,3.8702232837677
1683114645.6265106,46000,4.135671138763428
1683114648.5163393,47000,4.165472507476807
1683114652.810426,48000,3.9914119243621826
1683114660.196694,50000,4.034999847412109
1683114663.645835,51000,4.1330060958862305
1683114671.583369,53000,4.002567768096924
1683114675.7812126,54000,4.061219215393066
1683114678.8200572,55000,4.111073970794678
1683114683.554647,56000,4.090413570404053
1683114686.6903832,57000,4.0735883712768555
1683114689.3318644,58000,4.063495635986328
1683114697.7737653,60000,3.9242193698883057
1683114701.3721583,61000,4.123659610748291
1683114705.8465276,62000,4.012017726898193
1683114709.3449373,63000,4.124656677246094
1683114713.4252636,64000,4.136107444763184
1683114717.5845706,65000,4.1821794509887695
1683114720.3736413,66000,4.055943012237549
1683114724.960915,67000,4.134902000427246
1683114728.4986584,68000,4.147413730621338
1683114732.6357672,69000,4.02466344833374
1683114735.9589942,70000,4.100480079650879
1683114743.0423348,72000,4.093920707702637
1683114747.9799242,73000,4.143476486206055
1683114750.9320035,74000,4.1297688484191895
1683114755.7457938,75000,4.090567588806152
1683114758.5587623,76000,4.18446683883667
1683114762.97963,77000,4.094632148742676
1683114766.800407,78000,4.17819881439209
1683114770.7398913,79000,4.1238274574279785
1683114774.0792947,80000,4.191994667053223
1683114782.616839,82000,4.162263870239258
1683114785.7638974,83000,4.182681560516357
1683114794.1340165,85000,4.0549750328063965
