Wall time,Step,Value
1683704710.2734604,1000,1.1823629140853882
1683704731.144152,2000,1.8921526670455933
1683704748.1256576,3000,3.6271843910217285
1683704764.611201,4000,4.152930736541748
1683704779.2068148,5000,5.583899974822998
1683704793.2706635,6000,6.049470901489258
1683704807.083195,7000,6.521685600280762
1683704820.3634486,8000,7.030725479125977
1683704835.8250651,9000,7.579258441925049
1683704848.9209907,10000,8.111056327819824
1683704861.8766606,11000,9.151738166809082
1683704873.0167081,12000,8.888957023620605
1683704887.058521,13000,8.999731063842773
1683704898.2279367,14000,9.33076000213623
1683704911.4681017,15000,8.703003883361816
1683704923.088744,16000,9.279054641723633
1683704936.5560095,17000,9.549440383911133
1683704948.5698042,18000,9.778727531433105
1683704961.427777,19000,10.010115623474121
1683704974.4944549,20000,9.909174919128418
1683704986.5922961,21000,9.212215423583984
1683704997.191279,22000,10.109586715698242
1683705011.0066547,23000,9.210214614868164
1683705023.7834992,24000,9.511720657348633
1683705037.9024653,25000,10.15964126586914
1683705048.9942045,26000,11.323111534118652
1683705061.6144998,27000,11.123588562011719
1683705073.339173,28000,11.080517768859863
1683705086.536008,29000,11.18175220489502
1683705098.6190453,30000,12.428650856018066
1683705109.6231008,31000,11.179998397827148
1683705124.238002,32000,11.051216125488281
1683705134.5371914,33000,11.726890563964844
1683705145.7103863,34000,12.29358959197998
1683705158.5673008,35000,9.939410209655762
1683705169.9873822,36000,10.835899353027344
1683705184.2885218,37000,10.683849334716797
1683705196.0066588,38000,11.799863815307617
1683705210.1533344,39000,10.91860580444336
1683705224.171325,40000,12.363019943237305
1683705232.732466,41000,12.456809997558594
1683705246.2060363,42000,13.25533676147461
1683705258.0253952,43000,11.815308570861816
1683705270.9216197,44000,12.02253246307373
1683705282.844755,45000,12.639570236206055
1683705296.8247797,46000,12.493189811706543
1683705308.2003672,47000,11.726485252380371
1683705319.0772486,48000,11.684488296508789
1683705333.0785484,49000,10.785216331481934
1683705345.815126,50000,11.16064739227295
1683705360.2749813,51000,11.792430877685547
1683705373.9797459,52000,13.169326782226562
1683705386.795897,53000,12.93238639831543
1683705397.7071652,54000,13.043086051940918
1683705408.8945432,55000,13.742478370666504
1683705420.1086636,56000,12.051929473876953
1683705433.9116573,57000,11.899059295654297
1683705447.6242983,58000,13.049556732177734
1683705459.7189856,59000,12.414613723754883
1683705470.9813583,60000,14.067163467407227
1683705483.644523,61000,13.21429443359375
1683705497.1582413,62000,13.582517623901367
1683705510.2374423,63000,13.29749870300293
1683705521.817506,64000,13.917888641357422
1683705533.4103873,65000,12.987701416015625
1683705546.3491552,66000,13.775701522827148
1683705559.528384,67000,13.745112419128418
1683705571.0915935,68000,13.58984661102295
1683705583.883299,69000,14.023098945617676
1683705597.8945622,70000,14.294442176818848
1683705607.439369,71000,13.288294792175293
1683705620.3488133,72000,14.253201484680176
1683705633.8517733,73000,13.629767417907715
1683705646.1251807,74000,14.078669548034668
1683705659.4786057,75000,14.333934783935547
1683705671.2012339,76000,14.893686294555664
1683705683.8616507,77000,14.623626708984375
1683705698.2810698,78000,14.636585235595703
1683705710.9908023,79000,14.609997749328613
1683705724.3091164,80000,14.533807754516602
1683705737.824208,81000,14.209919929504395
1683705749.4398413,82000,14.243699073791504
1683705766.7182198,83000,14.227107048034668
1683705778.8353026,84000,13.900227546691895
1683705792.902213,85000,13.790907859802246
1683705806.7373173,86000,14.343254089355469
1683705820.5609725,87000,14.912866592407227
1683705833.826418,88000,15.168778419494629
1683705846.6223466,89000,15.235700607299805
1683705860.6360998,90000,14.380470275878906
1683705872.9765248,91000,13.934306144714355
1683705885.1653268,92000,14.346092224121094
1683705898.6729543,93000,14.098370552062988
1683705911.5723422,94000,12.440961837768555
1683705925.2511322,95000,11.151118278503418
1683705933.90939,96000,7.740384101867676
1683705945.8641825,97000,5.188307762145996
1683705957.397439,98000,1.8373003005981445
1683705971.4431093,99000,-0.6559707522392273
1683705983.4919856,100000,-0.7544680833816528
1683705993.4099793,101000,-0.5582427382469177
1683706005.4766667,102000,-0.7390263080596924
1683706018.1574495,103000,-0.538180410861969
1683706031.111266,104000,-0.439581960439682
1683706042.5848436,105000,-0.4745309352874756
1683706053.559419,106000,-0.33246341347694397
1683706067.3336217,107000,-0.31853872537612915
1683706079.3404665,108000,-0.4297959506511688
1683706090.7357152,109000,-0.36121487617492676
1683706103.7731767,110000,-0.28230634331703186
1683706115.246751,111000,-0.32299861311912537
1683706127.3963099,112000,-0.30108708143234253
1683706138.8761039,113000,-0.3170054852962494
1683706152.2712238,114000,-0.1814570277929306
1683706166.5106685,115000,-0.1229483112692833
1683706177.5908463,116000,-0.11021923273801804
1683706188.8927603,117000,-0.11360158026218414
1683706199.869853,118000,-0.19827455282211304
1683706210.968707,119000,-0.16783656179904938
1683706223.7316728,120000,-0.10448852926492691
1683706236.8529196,121000,-0.21735729277133942
1683706247.7923229,122000,-0.0773930624127388
1683706260.6242461,123000,-0.13114741444587708
1683706271.2181456,124000,-0.17019875347614288
1683706284.7871635,125000,-0.08966092020273209
1683706296.3409214,126000,-0.14629748463630676
1683706309.0397248,127000,-0.05922406166791916
1683706321.434287,128000,-0.08468404412269592
1683706333.3177073,129000,-0.05376587435603142
1683706344.1857677,130000,-0.11805245280265808
1683706357.5664976,131000,-0.2007177174091339
1683706369.7764416,132000,-0.13629017770290375
1683706380.5412633,133000,0.05361827835440636
1683706394.2332678,134000,-0.06540971994400024
1683706405.6948254,135000,-0.1257680356502533
1683706417.9356427,136000,-0.08048152178525925
1683706429.600296,137000,0.017809424549341202
